frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
85.50,0.29,0.30,1.81,1.82,-1.82,-4.10,-1.52,-1.52,-1.52
86.35,0.26,0.26,1.83,1.82,-1.82,-4.07,-1.56,-1.56,-1.57
87.22,0.22,0.22,1.83,1.83,-1.83,-4.04,-1.61,-1.61,-1.61
88.09,0.18,0.18,1.84,1.84,-1.84,-4.01,-1.66,-1.65,-1.66
88.97,0.14,0.14,1.84,1.84,-1.84,-3.98,-1.70,-1.70,-1.70
89.86,0.10,0.10,1.85,1.85,-1.85,-3.95,-1.75,-1.75,-1.75
90.76,0.06,0.06,1.85,1.85,-1.86,-3.92,-1.80,-1.80,-1.79
91.66,0.03,0.03,1.87,1.87,-1.87,-3.89,-1.84,-1.84,-1.84
92.58,-0.01,-0.01,1.87,1.88,-1.88,-3.87,-1.89,-1.88,-1.88
93.51,-0.04,-0.04,1.89,1.89,-1.89,-3.84,-1.92,-1.93,-1.93
94.44,-0.08,-0.08,1.89,1.90,-1.89,-3.81,-1.97,-1.97,-1.97
95.39,-0.12,-0.12,1.91,1.91,-1.90,-3.79,-2.02,-2.02,-2.03
96.34,-0.16,-0.16,1.92,1.91,-1.91,-3.76,-2.07,-2.07,-2.08
97.30,-0.20,-0.20,1.92,1.92,-1.92,-3.74,-2.12,-2.12,-2.12
98.28,-0.24,-0.24,1.92,1.92,-1.93,-3.71,-2.17,-2.17,-2.16
99.26,-0.28,-0.28,1.93,1.93,-1.94,-3.69,-2.21,-2.21,-2.21
100.25,-0.32,-0.32,1.95,1.94,-1.94,-3.67,-2.26,-2.26,-2.27
101.25,-0.36,-0.36,1.95,1.95,-1.94,-3.65,-2.30,-2.31,-2.31
102.27,-0.41,-0.41,1.95,1.95,-1.95,-3.62,-2.36,-2.35,-2.36
103.29,-0.45,-0.45,1.95,1.95,-1.95,-3.60,-2.40,-2.40,-2.40
104.32,-0.50,-0.50,1.95,1.95,-1.95,-3.59,-2.45,-2.45,-2.45
105.37,-0.54,-0.54,1.95,1.95,-1.96,-3.57,-2.49,-2.49,-2.49
106.42,-0.58,-0.58,1.96,1.96,-1.96,-3.55,-2.54,-2.54,-2.54
107.48,-0.63,-0.62,1.95,1.96,-1.96,-3.53,-2.58,-2.58,-2.58
108.56,-0.67,-0.67,1.96,1.96,-1.95,-3.52,-2.62,-2.63,-2.63
109.64,-0.72,-0.72,1.95,1.95,-1.95,-3.50,-2.67,-2.67,-2.67
110.74,-0.77,-0.77,1.95,1.95,-1.95,-3.49,-2.72,-2.71,-2.72
111.85,-0.82,-0.82,1.95,1.94,-1.94,-3.48,-2.76,-2.76,-2.77
112.97,-0.87,-0.87,1.94,1.94,-1.93,-3.47,-2.80,-2.81,-2.81
114.10,-0.93,-0.92,1.92,1.93,-1.93,-3.46,-2.86,-2.85,-2.85
115.24,-0.98,-0.98,1.92,1.92,-1.92,-3.45,-2.90,-2.90,-2.90
116.39,-1.03,-1.03,1.92,1.91,-1.91,-3.44,-2.94,-2.95,-2.94
117.55,-1.09,-1.09,1.90,1.90,-1.91,-3.43,-2.99,-2.99,-2.99
118.73,-1.14,-1.13,1.89,1.90,-1.90,-3.42,-3.04,-3.03,-3.03
119.92,-1.18,-1.18,1.89,1.90,-1.89,-3.42,-3.07,-3.07,-3.07
121.12,-1.21,-1.22,1.91,1.90,-1.89,-3.41,-3.10,-3.11,-3.12
122.33,-1.26,-1.26,1.89,1.89,-1.89,-3.41,-3.15,-3.14,-3.15
123.55,-1.30,-1.30,1.89,1.89,-1.89,-3.41,-3.18,-3.18,-3.18
124.79,-1.34,-1.34,1.89,1.89,-1.89,-3.40,-3.23,-3.23,-3.23
126.03,-1.38,-1.38,1.89,1.89,-1.89,-3.40,-3.27,-3.27,-3.27
127.29,-1.41,-1.41,1.89,1.90,-1.90,-3.40,-3.31,-3.31,-3.30
128.57,-1.43,-1.43,1.91,1.91,-1.92,-3.40,-3.35,-3.35,-3.34
129.85,-1.44,-1.44,1.94,1.94,-1.94,-3.40,-3.38,-3.38,-3.38
131.15,-1.45,-1.45,1.97,1.97,-1.97,-3.41,-3.41,-3.42,-3.42
132.46,-1.46,-1.45,1.99,2.00,-2.00,-3.41,-3.45,-3.45,-3.45
133.79,-1.45,-1.45,2.03,2.03,-2.03,-3.41,-3.48,-3.48,-3.48
135.12,-1.44,-1.44,2.08,2.07,-2.07,-3.42,-3.51,-3.51,-3.52
136.48,-1.43,-1.43,2.11,2.11,-2.11,-3.42,-3.54,-3.54,-3.54
137.84,-1.42,-1.42,2.16,2.15,-2.16,-3.43,-3.57,-3.58,-3.58
139.22,-1.42,-1.41,2.19,2.20,-2.21,-3.44,-3.63,-3.62,-3.61
140.61,-1.39,-1.39,2.25,2.25,-2.26,-3.44,-3.65,-3.65,-3.64
142.02,-1.36,-1.36,2.31,2.31,-2.32,-3.45,-3.68,-3.68,-3.67
143.44,-1.32,-1.32,2.38,2.38,-2.38,-3.46,-3.70,-3.69,-3.70
144.87,-1.28,-1.28,2.44,2.44,-2.44,-3.47,-3.72,-3.72,-3.72
146.32,-1.24,-1.24,2.51,2.51,-2.50,-3.48,-3.74,-3.74,-3.75
147.78,-1.21,-1.21,2.56,2.56,-2.56,-3.49,-3.77,-3.77,-3.77
149.26,-1.18,-1.18,2.62,2.62,-2.62,-3.50,-3.80,-3.79,-3.80
150.75,-1.15,-1.15,2.67,2.67,-2.67,-3.51,-3.82,-3.82,-3.82
152.26,-1.12,-1.12,2.72,2.72,-2.72,-3.52,-3.84,-3.84,-3.84
153.78,-1.10,-1.09,2.76,2.76,-2.76,-3.53,-3.86,-3.86,-3.86
155.32,-1.07,-1.07,2.81,2.80,-2.80,-3.55,-3.87,-3.88,-3.87
156.88,-1.06,-1.06,2.83,2.84,-2.83,-3.56,-3.89,-3.89,-3.89
158.44,-1.05,-1.05,2.87,2.87,-2.86,-3.57,-3.91,-3.91,-3.92
160.03,-1.04,-1.04,2.89,2.88,-2.88,-3.58,-3.92,-3.93,-3.93
161.63,-1.05,-1.04,2.89,2.90,-2.90,-3.60,-3.95,-3.94,-3.94
163.24,-1.05,-1.05,2.91,2.91,-2.91,-3.61,-3.96,-3.96,-3.96
164.88,-1.06,-1.06,2.92,2.91,-2.92,-3.62,-3.98,-3.98,-3.98
166.53,-1.07,-1.07,2.92,2.92,-2.92,-3.64,-3.99,-3.99,-3.99
168.19,-1.08,-1.08,2.92,2.92,-2.92,-3.65,-4.00,-3.99,-4.00
169.87,-1.09,-1.09,2.92,2.91,-2.91,-3.66,-4.00,-4.00,-4.00
171.57,-1.11,-1.11,2.90,2.90,-2.90,-3.67,-4.01,-4.01,-4.01
173.29,-1.13,-1.13,2.89,2.89,-2.89,-3.69,-4.02,-4.02,-4.02
175.02,-1.15,-1.15,2.87,2.87,-2.88,-3.70,-4.02,-4.03,-4.02
176.77,-1.18,-1.17,2.85,2.85,-2.86,-3.71,-4.04,-4.03,-4.03
178.54,-1.20,-1.20,2.84,2.84,-2.84,-3.72,-4.04,-4.04,-4.03
180.32,-1.22,-1.22,2.82,2.82,-2.82,-3.74,-4.04,-4.04,-4.04
182.13,-1.25,-1.25,2.80,2.80,-2.80,-3.75,-4.04,-4.04,-4.04
183.95,-1.27,-1.27,2.78,2.78,-2.77,-3.76,-4.04,-4.04,-4.05
185.79,-1.30,-1.30,2.75,2.75,-2.75,-3.77,-4.05,-4.05,-4.05
187.65,-1.32,-1.32,2.73,2.72,-2.72,-3.78,-4.04,-4.04,-4.04
189.52,-1.35,-1.35,2.69,2.70,-2.70,-3.78,-4.05,-4.04,-4.04
191.42,-1.37,-1.37,2.67,2.67,-2.67,-3.79,-4.04,-4.04,-4.04
193.33,-1.40,-1.40,2.64,2.64,-2.64,-3.80,-4.04,-4.04,-4.04
195.27,-1.43,-1.43,2.61,2.61,-2.61,-3.80,-4.04,-4.03,-4.04
197.22,-1.45,-1.45,2.58,2.58,-2.58,-3.81,-4.03,-4.03,-4.03
199.19,-1.48,-1.48,2.54,2.55,-2.55,-3.81,-4.03,-4.02,-4.02
201.18,-1.50,-1.50,2.52,2.52,-2.52,-3.82,-4.02,-4.02,-4.01
203.19,-1.52,-1.52,2.49,2.49,-2.49,-3.82,-4.01,-4.01,-4.01
205.23,-1.54,-1.54,2.45,2.46,-2.46,-3.82,-3.99,-3.99,-3.99
207.28,-1.56,-1.56,2.43,2.43,-2.43,-3.82,-3.98,-3.98,-3.98
209.35,-1.58,-1.58,2.40,2.40,-2.40,-3.82,-3.97,-3.97,-3.98
211.44,-1.60,-1.60,2.37,2.37,-2.37,-3.82,-3.96,-3.96,-3.97
213.56,-1.62,-1.62,2.34,2.33,-2.34,-3.82,-3.95,-3.96,-3.95
215.69,-1.64,-1.64,2.30,2.30,-2.30,-3.81,-3.94,-3.94,-3.94
217.85,-1.66,-1.66,2.27,2.27,-2.27,-3.81,-3.93,-3.93,-3.93
220.03,-1.67,-1.67,2.24,2.24,-2.24,-3.80,-3.91,-3.91,-3.91
222.23,-1.69,-1.69,2.20,2.21,-2.20,-3.79,-3.89,-3.89,-3.89
224.45,-1.71,-1.71,2.17,2.17,-2.16,-3.78,-3.87,-3.87,-3.88
226.70,-1.73,-1.73,2.13,2.13,-2.12,-3.77,-3.85,-3.86,-3.86
